station,lead_h,bin_lo,bin_hi,n,mean_pred,obs_wet_frac,model
Hexworthy,48,0.8,0.9,6,0.8379706253418105,1.0,phase3a_per_lead
Hexworthy,48,0.9,1.0,7,0.9767340641427025,1.0,phase3a_per_lead
Hexworthy,72,0.1,0.2,1201,0.16259801226728884,0.1273938384679434,phase3a_per_lead
Hexworthy,72,0.2,0.30000000000000004,555,0.22760533023688417,0.3261261261261261,phase3a_per_lead
Hexworthy,72,0.30000000000000004,0.4,79,0.34343889850754544,0.6708860759493671,phase3a_per_lead
Hexworthy,72,0.4,0.5,37,0.4464812950953698,0.4594594594594595,phase3a_per_lead
Hexworthy,72,0.5,0.6000000000000001,26,0.5544407774717869,0.6153846153846154,phase3a_per_lead
Hexworthy,72,0.6000000000000001,0.7000000000000001,24,0.6361372643710569,0.6666666666666666,phase3a_per_lead
Hexworthy,72,0.7000000000000001,0.8,19,0.7372612829841895,0.6842105263157895,phase3a_per_lead
Hexworthy,72,0.8,0.9,24,0.8613316595907302,0.8333333333333334,phase3a_per_lead
Hexworthy,72,0.9,1.0,26,0.9477452694809778,0.8076923076923077,phase3a_per_lead
Bellever,24,0.0,0.1,126,0.09938959948926421,0.05555555555555555,phase3b_joint_hierarchy
Bellever,24,0.1,0.2,1438,0.12938924353072695,0.09735744089012517,phase3b_joint_hierarchy
Bellever,24,0.2,0.30000000000000004,132,0.2444757764445675,0.3939393939393939,phase3b_joint_hierarchy
Bellever,24,0.30000000000000004,0.4,51,0.3453542569285673,0.5882352941176471,phase3b_joint_hierarchy
Bellever,24,0.4,0.5,37,0.4564711702836915,0.7567567567567568,phase3b_joint_hierarchy
Bellever,24,0.5,0.6000000000000001,34,0.5472528886459578,0.7941176470588235,phase3b_joint_hierarchy
Bellever,24,0.6000000000000001,0.7000000000000001,19,0.6502369961761431,0.47368421052631576,phase3b_joint_hierarchy
Bellever,24,0.7000000000000001,0.8,32,0.766012739761869,0.71875,phase3b_joint_hierarchy
Bellever,24,0.8,0.9,40,0.8490294703961643,0.75,phase3b_joint_hierarchy
Bellever,24,0.9,1.0,115,0.9772891440522065,0.7913043478260869,phase3b_joint_hierarchy
Bellever,48,0.0,0.1,156,0.050935444525597666,0.3974358974358974,phase3b_joint_hierarchy
Bellever,48,0.1,0.2,1674,0.14803040836594003,0.14755077658303464,phase3b_joint_hierarchy
Bellever,48,0.2,0.30000000000000004,101,0.23556050794385452,0.5148514851485149,phase3b_joint_hierarchy
Bellever,48,0.30000000000000004,0.4,31,0.35103298233804686,0.7096774193548387,phase3b_joint_hierarchy
Bellever,48,0.4,0.5,10,0.43015947759496065,0.5,phase3b_joint_hierarchy
Bellever,48,0.5,0.6000000000000001,9,0.543554012057339,0.8888888888888888,phase3b_joint_hierarchy
Bellever,48,0.6000000000000001,0.7000000000000001,14,0.6517527993182719,1.0,phase3b_joint_hierarchy
Bellever,48,0.7000000000000001,0.8,15,0.7510361520965833,1.0,phase3b_joint_hierarchy
Bellever,48,0.8,0.9,6,0.8390682372923889,0.6666666666666666,phase3b_joint_hierarchy
