param,station,lead_h,mean,sd
intercept,Hexworthy,24,-0.9208250891541067,0.15677303915589583
precip_ecmwf_ifs025,Hexworthy,24,1.151734139977386,0.12239857843254905
precip_gem_seamless,Hexworthy,24,0.6153298548050252,0.11804168912165557
precip_gfs_seamless,Hexworthy,24,0.024133251965143408,0.09562301778905477
precip_icon_seamless,Hexworthy,24,0.08046264353871616,0.11543229739532594
precip_meteofrance_seamless,Hexworthy,24,0.21175522027783,0.09462552900152287
precip_ukmo_seamless,Hexworthy,24,1.6263799004476678,0.6881553339771364
hour_sin,Hexworthy,24,0.03325481595999527,0.06247119986850402
hour_cos,Hexworthy,24,-0.1581926785271275,0.06220415678236545
intercept,Hexworthy,48,-1.8131312517804787,0.19325791052476735
precip_ecmwf_ifs025,Hexworthy,48,0.7408026571979741,0.09682678390016684
precip_gem_seamless,Hexworthy,48,0.46738837474771605,0.08019819394904733
precip_gfs_seamless,Hexworthy,48,-0.0523556146033912,0.07566862422764067
precip_icon_seamless,Hexworthy,48,0.0964179601271366,0.10216478694180668
precip_meteofrance_seamless,Hexworthy,48,-0.11994842075977392,0.1350178905528964
precip_ukmo_seamless,Hexworthy,48,-2.210868049162912,0.8854546030083187
hour_sin,Hexworthy,48,0.0006959862418129624,0.05982227342881097
hour_cos,Hexworthy,48,-0.14434212576473635,0.061105166661264414
intercept,Hexworthy,72,-1.1759590529711728,0.11297564750627571
precip_ecmwf_ifs025,Hexworthy,72,0.29628183088578613,0.07773177879538139
precip_gem_seamless,Hexworthy,72,0.6328133970655441,0.11362800159097211
precip_gfs_seamless,Hexworthy,72,0.038686100715467533,0.11056429346334119
precip_icon_seamless,Hexworthy,72,0.2900143167474164,0.08579220869713156
precip_meteofrance_seamless,Hexworthy,72,0.0035386517116484024,0.12906572587637669
precip_ukmo_seamless,Hexworthy,72,0.28179840229879455,0.46820234263533567
hour_sin,Hexworthy,72,-0.041234096673024155,0.06065189866941965
hour_cos,Hexworthy,72,-0.18170303046183695,0.06203986090037294
