tau,slice,series,n,sq
33,sco,b24x72,401,33.22362084615715
33,sco,b24x96,401,33.185557752289675
33,sco,b24x120,401,34.45551880416255
33,sco,b48x72,401,36.07587635479465
33,sco,b48x96,401,35.97292282751648
33,sco,b48x120,401,37.589403004348576
33,sco,b72x96,401,35.32101581100913
33,sco,b72x120,401,36.71867666141566
33,sco,b96x120,401,36.98418823545998
36,sel,s24,688,49.79970403938096
36,sel,s48,688,47.01558149508121
36,sel,s72,688,45.94376036100348
36,sel,s96,688,50.06502999102649
36,sel,s120,688,51.94846459246428
36,sel,b24x48,688,48.122926134012324
36,sel,b24x72,688,47.208441775209344
36,sel,b24x96,688,48.913518218455195
36,sel,b24x120,688,48.758596057549184
36,sel,b48x72,688,46.09833562738238
36,sel,b48x96,688,47.92267416650639
36,sel,b48x120,688,47.93963063811303
36,sel,b72x96,688,47.55544429923266
36,sel,b72x120,688,47.80236227265854
36,sel,b96x120,688,50.085026765714005
36,sco,s24,401,33.22465779658045
36,sco,s48,401,37.7285870602003
36,sco,s72,401,36.13715685544196
36,sco,s96,401,37.07828709458193
36,sco,s120,401,38.94519981152682
36,sco,b24x48,401,35.09240122600876
36,sco,b24x72,401,34.401423151798866
36,sco,b24x96,401,34.61133420333855
36,sco,b24x120,401,35.34304669980477
36,sco,b48x72,401,36.65789179618844
36,sco,b48x96,401,36.694013437591316
36,sco,b48x120,401,37.8297529637353
36,sco,b72x96,401,36.2446006743318
36,sco,b72x120,401,37.11632672664441
36,sco,b96x120,401,37.549408744163905
39,sel,s24,685,49.782118509725095
39,sel,s48,685,46.854560204900885
39,sel,s72,685,45.07097402835839
39,sel,s96,685,48.80157076864539
39,sel,s120,685,52.019351789579005
39,sel,b24x48,685,48.04747382566404
39,sel,b24x72,685,46.798927500975985
39,sel,b24x96,685,48.329589600129246
39,sel,b24x120,685,48.79571440915831
39,sel,b48x72,685,45.611722354105325
39,sel,b48x96,685,47.25545925130052
39,sel,b48x120,685,47.90074618565801
39,sel,b72x96,685,46.50543254128418
39,sel,b72x120,685,47.30980684985542
39,sel,b96x120,685,49.51431152274706
39,sco,s24,401,34.18372717421653
39,sco,s48,401,38.92479097959981
39,sco,s72,401,35.92544119724775
39,sco,s96,401,37.51371898259337
39,sco,s120,401,38.91485641319667
39,sco,b24x48,401,36.13567675555237
39,sco,b24x72,401,34.718209988976824
39,sco,b24x96,401,35.26314335874999
