station,lead,model,best_iter,wall_s,mae,rmse,r2,mae_wet,corr,n_test,n_wet
Goren,48,lgbm_regression,29,0.7,0.24276858290880932,0.5918632777762693,0.2996305598635596,0.7057250090822548,0.55066844022749,5627,1155
Goren,48,lgbm_tweedie,50,1.1,0.21971884237035114,0.5869709124310662,0.31116126861194293,0.7020334553159407,0.5630106567095876,5627,1155
Goren,72,nwp_mean,-,0.0,0.21316357358653432,0.6106841522190787,0.254379744411818,0.7411482168625027,0.5136398824989922,5627,1155
Goren,72,nwp_max,-,0.0,0.39349564599253595,0.8497482875085359,-0.4436602343543208,0.9234632034632034,0.4653839911482221,5627,1155
Goren,72,clim,-,0.0,0.2958259062225773,0.7086408511633532,-0.004007060924185568,0.8443845908813917,-1.431956601309375e-15,5627,1155
Goren,72,zero,-,0.0,0.19891594099875604,0.734666730742826,-0.07910857747905897,0.969090909090909,,5627,1155
Goren,72,lgbm_regression,29,0.7,0.2566976165355417,0.617852299377668,0.2367729879372683,0.7317229004151243,0.4915506005186615,5627,1155
Goren,72,lgbm_tweedie,41,1.0,0.2351938824143613,0.6230214085154542,0.22394886471547337,0.7349757976624869,0.48684583516235747,5627,1155
Raymonds Hill,24,nwp_mean,-,0.0,0.18270298346214578,0.6000344652398956,0.3653812313022252,0.7144937586685159,0.6279513870243074,5730,1133
Raymonds Hill,24,nwp_max,-,0.0,0.3032809773123909,0.7672620800459513,-0.037643067555030996,0.8919682259488084,0.5688060127090814,5730,1133
Raymonds Hill,24,clim,-,0.0,0.296879411958228,0.7550230114717438,-0.0048029365090236364,0.8960862756392075,-2.239003383197224e-16,5730,1133
Raymonds Hill,24,zero,-,0.0,0.2013961605584642,0.7796763995133591,-0.07149289654642055,1.0185348631950573,,5730,1133
Raymonds Hill,24,lgbm_regression,59,1.0,0.21355734923531544,0.5942098605310748,0.37764206954147683,0.7090328953447813,0.6147504372368638,5730,1133
Raymonds Hill,24,lgbm_tweedie,53,1.1,0.1945858768905207,0.6045255828580814,0.35584573278518894,0.7161029928179397,0.6202822898265321,5730,1133
Raymonds Hill,48,nwp_mean,-,0.0,0.20354982132469043,0.6347698210209635,0.2897797336095349,0.7723616189635607,0.5484431207933569,5730,1133
Raymonds Hill,48,nwp_max,-,0.0,0.3456719022687609,0.8705126771718654,-0.3357055157666542,0.9245366284201235,0.4664575065293383,5730,1133
Raymonds Hill,48,clim,-,0.0,0.296879411958228,0.7550230114717438,-0.0048029365090236364,0.8960862756392075,-2.239003383197224e-16,5730,1133
Raymonds Hill,48,zero,-,0.0,0.2013961605584642,0.7796763995133591,-0.07149289654642055,1.0185348631950573,,5730,1133
Raymonds Hill,48,lgbm_regression,36,0.8,0.25285301424445444,0.6481458040641787,0.2595325931300556,0.7681430969038112,0.5151227224186027,5730,1133
Raymonds Hill,48,lgbm_tweedie,52,1.1,0.22018338764374337,0.6378987422204812,0.2827608108768138,0.753353826880544,0.5411346329375128,5730,1133
Raymonds Hill,72,nwp_mean,-,0.0,0.2193397324025596,0.6595620568717182,0.23321811078347576,0.7997121001975371,0.49418002879652456,5730,1133
Raymonds Hill,72,nwp_max,-,0.0,0.3963176265270506,0.8825069399882358,-0.3727668334409784,0.9648720211827009,0.43872632737488654,5730,1133
Raymonds Hill,72,clim,-,0.0,0.296879411958228,0.7550230114717438,-0.0048029365090236364,0.8960862756392075,-2.239003383197224e-16,5730,1133
Raymonds Hill,72,zero,-,0.0,0.2013961605584642,0.7796763995133591,-0.07149289654642055,1.0185348631950573,,5730,1133
Raymonds Hill,72,lgbm_regression,83,1.6,0.2688929930214735,0.6751400931850631,0.1965694937202429,0.7992775174894029,0.4543665939885295,5730,1133
Raymonds Hill,72,lgbm_tweedie,42,1.4,0.2344513781439519,0.6760895137122102,0.1943082452347259,0.7988518024958107,0.4652318461213617,5730,1133
