station,lead_h,bin_lo,bin_hi,n,mean_pred,obs_wet_frac,model
Princetown,48,0.1,0.2,510,0.1512870945664736,0.14313725490196078,phase3b_joint_hierarchy
Princetown,48,0.2,0.30000000000000004,361,0.23011289136669164,0.22714681440443213,phase3b_joint_hierarchy
Princetown,48,0.30000000000000004,0.4,92,0.3503332834302686,0.44565217391304346,phase3b_joint_hierarchy
Princetown,48,0.4,0.5,94,0.44809269618948877,0.46808510638297873,phase3b_joint_hierarchy
Princetown,48,0.5,0.6000000000000001,173,0.5528633746189924,0.3468208092485549,phase3b_joint_hierarchy
Princetown,48,0.6000000000000001,0.7000000000000001,80,0.6469904500264393,0.3875,phase3b_joint_hierarchy
Princetown,48,0.7000000000000001,0.8,65,0.7507533795163283,0.5230769230769231,phase3b_joint_hierarchy
Princetown,48,0.8,0.9,110,0.851437074791857,0.5363636363636364,phase3b_joint_hierarchy
Princetown,48,0.9,1.0,500,0.9868076885049823,0.644,phase3b_joint_hierarchy
Princetown,72,0.0,0.1,8,0.0638789545477648,0.5,phase3b_joint_hierarchy
Princetown,72,0.1,0.2,510,0.16542987640881782,0.12352941176470589,phase3b_joint_hierarchy
Princetown,72,0.2,0.30000000000000004,485,0.2551418698459654,0.19175257731958764,phase3b_joint_hierarchy
Princetown,72,0.30000000000000004,0.4,471,0.34806406034640175,0.2505307855626327,phase3b_joint_hierarchy
Princetown,72,0.4,0.5,196,0.444958474826957,0.32653061224489793,phase3b_joint_hierarchy
Princetown,72,0.5,0.6000000000000001,175,0.5466171077916562,0.38285714285714284,phase3b_joint_hierarchy
Princetown,72,0.6000000000000001,0.7000000000000001,132,0.6525581010726514,0.38636363636363635,phase3b_joint_hierarchy
Princetown,72,0.7000000000000001,0.8,112,0.7527554491820333,0.6428571428571429,phase3b_joint_hierarchy
Princetown,72,0.8,0.9,109,0.8522074212251742,0.5779816513761468,phase3b_joint_hierarchy
Princetown,72,0.9,1.0,316,0.9745647144806057,0.6139240506329114,phase3b_joint_hierarchy
Hexworthy,24,0.0,0.1,388,0.0898305675354416,0.06958762886597938,phase3b_joint_hierarchy
Hexworthy,24,0.1,0.2,669,0.14501844334124456,0.13602391629297458,phase3b_joint_hierarchy
Hexworthy,24,0.2,0.30000000000000004,524,0.23749063378707536,0.1717557251908397,phase3b_joint_hierarchy
Hexworthy,24,0.30000000000000004,0.4,48,0.34651083386928905,0.3958333333333333,phase3b_joint_hierarchy
Hexworthy,24,0.4,0.5,59,0.44934463925658635,0.5932203389830508,phase3b_joint_hierarchy
Hexworthy,24,0.5,0.6000000000000001,72,0.5352383372990089,0.6527777777777778,phase3b_joint_hierarchy
Hexworthy,24,0.6000000000000001,0.7000000000000001,34,0.6499722112298104,0.6764705882352942,phase3b_joint_hierarchy
Hexworthy,24,0.7000000000000001,0.8,52,0.7553569890734109,0.4807692307692308,phase3b_joint_hierarchy
Hexworthy,24,0.8,0.9,25,0.8496964727521253,0.84,phase3b_joint_hierarchy
Hexworthy,24,0.9,1.0,154,0.9751676266100424,0.7987012987012987,phase3b_joint_hierarchy
Hexworthy,48,0.0,0.1,495,0.08118755620488383,0.05858585858585859,phase3b_joint_hierarchy
Hexworthy,48,0.1,0.2,605,0.14658379518105993,0.1305785123966942,phase3b_joint_hierarchy
Hexworthy,48,0.2,0.30000000000000004,457,0.23149666230607074,0.22319474835886213,phase3b_joint_hierarchy
Hexworthy,48,0.30000000000000004,0.4,55,0.35017046405416086,0.509090909090909,phase3b_joint_hierarchy
Hexworthy,48,0.4,0.5,78,0.4532513129579745,0.5897435897435898,phase3b_joint_hierarchy
Hexworthy,48,0.5,0.6000000000000001,80,0.5465405610929184,0.55,phase3b_joint_hierarchy
Hexworthy,48,0.6000000000000001,0.7000000000000001,42,0.6407429832829658,0.5,phase3b_joint_hierarchy
Hexworthy,48,0.7000000000000001,0.8,37,0.7517792779620308,0.5945945945945946,phase3b_joint_hierarchy
Hexworthy,48,0.8,0.9,35,0.8415836186895134,0.7428571428571429,phase3b_joint_hierarchy
Hexworthy,48,0.9,1.0,141,0.9814543462599832,0.7375886524822695,phase3b_joint_hierarchy
Hexworthy,72,0.1,0.2,558,0.15876424741146808,0.07347670250896057,phase3b_joint_hierarchy
Hexworthy,72,0.2,0.30000000000000004,435,0.2515712399748524,0.1793103448275862,phase3b_joint_hierarchy
Hexworthy,72,0.30000000000000004,0.4,440,0.3575540796149512,0.23636363636363636,phase3b_joint_hierarchy
Hexworthy,72,0.4,0.5,263,0.4261277441885785,0.30038022813688214,phase3b_joint_hierarchy
Hexworthy,72,0.5,0.6000000000000001,87,0.5413790467436159,0.5862068965517241,phase3b_joint_hierarchy
Hexworthy,72,0.6000000000000001,0.7000000000000001,60,0.6469465560085645,0.5666666666666667,phase3b_joint_hierarchy
Hexworthy,72,0.7000000000000001,0.8,39,0.7452479219706163,0.6923076923076923,phase3b_joint_hierarchy
Hexworthy,72,0.8,0.9,33,0.8520137996755331,0.7878787878787878,phase3b_joint_hierarchy
